locusID	baseMean	log2FoldChange	lfcSE	pvalue	padj
Sobic.001G001200	12.9677749045198	1.49223755342383	0.657177508875529	0.00304320431259531	0.0102483782567511
Sobic.001G001400	91.4847388087071	0.691849632262675	0.230907838479469	0.0012438190723684	0.00479246558064985
Sobic.001G003300	47.052322625633	1.98232410513011	0.300267519526965	5.71129529265959e-12	1.27637123773962e-10
Sobic.001G004000	21.5064139786354	1.12054142387561	0.330753023121529	0.000180599850175807	0.000885335692317799
Sobic.001G004400	327.08336652052	0.765735103863805	0.137657574704542	1.25421212126543e-08	1.6199168708262e-07
Sobic.001G005500	480.00419460112	0.999476364340844	0.261464897256953	3.91840383072896e-05	0.00023316154733744
Sobic.001G006000	470.090412728057	0.673058546088441	0.172170111322762	5.20687724697594e-05	0.000298069225400378
Sobic.001G007500	83.032999178278	1.14136449150828	0.293879922669304	2.75119216818984e-05	0.000169818756785138
Sobic.001G008100	296.664644147629	0.621020206594199	0.122767276828425	2.40547007433563e-07	2.37624347824767e-06
Sobic.001G008500	55.1959499101438	0.575555186302927	0.237798936160731	0.0094150665881956	0.0266244622239998
Sobic.001G008700	204.899904345155	0.926991175244544	0.224076432695303	1.28523452519002e-05	8.51817908637399e-05
Sobic.001G011000	265.406733563627	0.973595665192623	0.276948338308835	0.000131988000006094	0.000677528159472655
Sobic.001G011800	7.74805064346343	1.41405263545059	0.631445797459524	0.00385428903028817	0.0125232451862568
Sobic.001G013100	135.889213502422	1.24633968706359	0.291453199225727	3.65154322142167e-06	2.75788429176124e-05
Sobic.001G013200	32.3533685204499	0.698060602679444	0.315125924300816	0.012715175587753	0.0342913241966868
Sobic.001G015500	107.816249332794	0.71590618477092	0.232484553370458	0.00102206002163283	0.00404763298802873
Sobic.001G016100	36.226588856568	1.32162624640083	0.496491226033486	0.00133217032977373	0.00508733357753203
Sobic.001G017700	53.8441390652356	1.07329835873486	0.239553130826066	2.14686615785169e-06	1.71934451307206e-05
Sobic.001G019200	21.8954469783348	0.795555482716274	0.350518521226364	0.00949512883391475	0.0267950348715224
Sobic.001G021800	59.2953166986755	1.58345379569941	0.226825662670734	4.4113899919669e-13	1.14963299303208e-11
Sobic.001G022600	867.079618034037	0.695390637085691	0.143637956860893	7.32619515296937e-07	6.51492243366122e-06
Sobic.001G023800	78.2425715457391	0.688631598787388	0.210406493676719	0.00056383817199803	0.00240575498635097
Sobic.001G024000	197.569816921979	1.01502983101818	0.213242028468947	5.94364370852122e-07	5.39422355706996e-06
