locusID	baseMean	log2FoldChange	lfcSE	pvalue	padj
Sobic.001G000200	45.1327624946949	0.988228378582821	0.392421573842039	0.00520316218756288	0.00989857563890143
Sobic.001G000700	62.9957212119714	0.777631456317687	0.262895142398225	0.00161608924176479	0.00346996014268665
Sobic.001G001200	15.1345491002273	2.30554578019223	0.65046972184248	4.73630739845204e-05	0.000146165246511963
Sobic.001G001300	141.732801559361	1.03724559113598	0.299475867959795	0.000230014296022172	0.000601028173092295
Sobic.001G001400	97.1180977113134	1.41793302932526	0.234439617709318	4.16745589062825e-10	3.5796701206599e-09
Sobic.001G002050	92.5205990140143	0.799201206062633	0.286153489863411	0.00301400759124234	0.00608980026709672
Sobic.001G002600	69.5514839041811	0.706021141824281	0.283784923723762	0.00796561929597616	0.0144690024955119
Sobic.001G002700	74.1681786240263	1.16283420692047	0.339740507492672	0.000220826126229146	0.000580371718316822
Sobic.001G003300	54.0525891906261	2.70394163832718	0.303904334084889	8.99653300376281e-20	3.3771453571359e-18
Sobic.001G003500	228.694650585523	1.12549732180748	0.181573807560749	2.1468226204305e-10	1.9314835029197e-09
Sobic.001G004000	24.206190397774	1.85376134482274	0.338568645812927	8.38433625574402e-09	5.65678181874156e-08
Sobic.001G004200	95.0065150803168	1.09968334470418	0.212382197499531	9.42796947592667e-08	5.22253266762242e-07
Sobic.001G004400	351.853771834893	1.47153274526779	0.154414400892236	4.26962217522306e-22	2.17086294056082e-20
Sobic.001G004700	44.1637861383178	0.757750760561545	0.302209886641951	0.00731012284624831	0.0133969562040468
Sobic.001G005500	543.344512290108	1.71659438146589	0.273267184372883	6.5064047989051e-11	6.42375488903652e-10
Sobic.001G005800	65.1995811722295	1.15424174099488	0.270654554441018	7.66181038024981e-06	2.81795540001558e-05
Sobic.001G005900	334.115454070165	1.00173282775818	0.166530661835444	8.9374779674334e-10	7.18050654733276e-09
Sobic.001G006000	524.744165753946	1.37810495588403	0.19063899566322	1.5048395078422e-13	2.31876711238951e-12
Sobic.001G006800	54.7315966558736	1.36016601928727	0.346154474763812	2.21907385368322e-05	7.37587038442598e-05
Sobic.001G007000	130.89186108228	0.559592420262529	0.195760184015586	0.00340531029767654	0.00678638761797213
Sobic.001G007300	46.9817156371579	1.04534121115241	0.368210999489201	0.00189224860792641	0.00399771790080777
Sobic.001G007400	125.933183446515	1.02989257267656	0.205528940626705	2.40358851019056e-07	1.22244197420848e-06
Sobic.001G007500	94.3408682388864	1.87270500896668	0.299702088366923	8.80611773339048e-11	8.47942141565023e-10
Sobic.001G007600	132.954187343751	1.021292061751	0.208165355651499	4.72379738449838e-07	2.26171687374055e-06
Sobic.001G007700	178.632758079429	1.27410164290366	0.272091517933339	8.94601280394893e-07	4.0222860321119e-06
Sobic.001G007800	14.1505230973533	1.26750595732325	0.515219075010605	0.00395116503807762	0.00775766801322094
Sobic.001G007900	55.8009354556718	1.10899953673888	0.287683230565671	4.32722745437726e-05	0.000135004905353807
Sobic.001G008100	319.576002102781	1.3247297619253	0.13763413425527	1.87703035695426e-22	9.94487885517836e-21
Sobic.001G008200	89.5155174854638	0.680586895087058	0.206537745290839	0.00065680252453417	0.00154465035195366
Sobic.001G008300	14.3432338447166	1.55552776468296	0.560420991758265	0.00115139860327891	0.0025616803981904
Sobic.001G008500	60.2231517863516	1.28318411576405	0.255731675113345	1.6611467460408e-07	8.7276986421673e-07
Sobic.001G008700	223.928924894827	1.64243319383772	0.233146977879628	4.42605067637194e-13	6.20244734576887e-12
Sobic.001G008800	363.291931861267	0.704356283935232	0.241265602728103	0.0022399887381152	0.00466204097045729
Sobic.001G009500	36.1072987261418	1.2315885792923	0.313769922512135	2.86512857897008e-05	9.29047298635713e-05
Sobic.001G010100	1246.60590541857	0.860655744727652	0.383507483601328	0.0122627765112203	0.021347031671185
Sobic.001G010300	38.5339373058263	1.01026682206055	0.278791583763906	0.000130162040541089	0.000361645493112823
Sobic.001G010400	315.573599471384	0.833532056751852	0.171711265521424	7.30008703502707e-07	3.35142949672086e-06
Sobic.001G010600	268.333831209889	0.954946338006009	0.204056190311757	1.42390616535872e-06	6.12432386041537e-06
Sobic.001G010700	490.6454480442	0.57691149984883	0.153251054545943	0.000127923959346911	0.000356043920927203
Sobic.001G010800	164.496885783443	0.722723954289452	0.257508752768546	0.00323842234911299	0.00649045615192554
Sobic.001G010900	1826.51430489538	0.587169333694684	0.176313325298312	0.000658671560104587	0.00154883944221314
Sobic.001G011000	293.391148186906	1.69983387672541	0.280782568515361	2.43563673550338e-10	2.17359326881568e-09
Sobic.001G011200	716.059355791397	1.19444073992075	0.230419447888379	7.81559793517361e-08	4.39561983966427e-07
Sobic.001G011600	1296.32999003414	0.604750000295098	0.204667470743974	0.00228584059921001	0.00474851382785596
