GeneID	pearson_corr
Sobic.001G006700	0.970726255016533
Sobic.001G347500	0.963208941207696
Sobic.005G184050	0.96105359731304
Sobic.010G105200	0.960848108610661
Sobic.004G329400	0.960124296416738
Sobic.001G224600	0.958762320534768
Sobic.003G369900	0.958604303195046
Sobic.006G188700	0.95569346883415
Sobic.001G026200	0.952392506639913
Sobic.006G084300	0.952209974919002
Sobic.004G093600	0.95135713392377
Sobic.001G464200	0.950881194152038
Sobic.008G092600	0.950842899041631
Sobic.003G264800	0.949264178343181
Sobic.009G200500	0.94898595214756
Sobic.003G163200	0.947286060569045
Sobic.009G162600	0.947129794113157
Sobic.009G054600	0.94657574602433
Sobic.002G276900	0.945919834239911
Sobic.002G405800	0.945874409980939
Sobic.002G256700	0.945821024426376
Sobic.009G064200	0.945798104992952
Sobic.004G151700	0.945637060477617
Sobic.004G065100	0.944931832341365
Sobic.003G244200	0.944821382554673
Sobic.003G446100	0.944440337072505
Sobic.004G311400	0.943944168370593
Sobic.010G103000	0.943777334749565
Sobic.010G020300	0.94376521437851
Sobic.009G224400	0.943672118369622
Sobic.006G262501	0.943393610979005
Sobic.003G241700	0.943270876960132
Sobic.006G281200	0.943260828283533
Sobic.003G302900	0.943217382967231
Sobic.001G446900	0.943108344472126
Sobic.004G001500	0.942929457183633
Sobic.001G041800	0.942871454030145
Sobic.001G263600	0.942691186603324
Sobic.004G009600	0.942581534386188
Sobic.004G039200	0.941780645695212
Sobic.005G162600	0.941778531814944
Sobic.004G102000	0.94122133445578
Sobic.008G038200	0.941139368167384
Sobic.001G041900	0.940691428477315
Sobic.003G117700	0.940603489789369
Sobic.001G006400	0.940285655672195
Sobic.003G409800	0.940194786373131
Sobic.002G233600	0.940095416092327
Sobic.004G011300	0.939928891699515
Sobic.005G084500	0.939826128524486
Sobic.007G009700	0.939653571861311
Sobic.009G255800	0.939473904056762
Sobic.009G192000	0.939317136086188
Sobic.002G303300	0.938493331091056
Sobic.006G027200	0.938481038792952
Sobic.002G404700	0.938264528765616
Sobic.008G149800	0.938055843201171
Sobic.002G417800	0.937978511360931
Sobic.003G056100	0.937661755481116
Sobic.001G113200	0.937304590136207
Sobic.002G152600	0.936820821895316
Sobic.003G195500	0.936766847754649
Sobic.005G059100	0.93671742324442
Sobic.003G201900	0.936368399860151
Sobic.004G082900	0.936232373284392
Sobic.005G033300	0.935990330315617
Sobic.006G173100	0.935721006757169
Sobic.001G518100	0.935681601893913
Sobic.003G150800	0.935663860123595
Sobic.010G267700	0.935579153310531
Sobic.002G388500	0.935548080677902
Sobic.010G184300	0.935129323200952
Sobic.004G351600	0.9347359899878
Sobic.006G052800	0.934064707195184
Sobic.004G146500	0.933897627997163
Sobic.007G146900	0.933719945184893
Sobic.001G361300	0.933517339555295
Sobic.009G005500	0.933161629668177
Sobic.001G350900	0.932877448266124
Sobic.010G078900	0.932595204177244
Sobic.007G006900	0.932419661725937
Sobic.002G072000	0.932246072444018
Sobic.009G182600	0.931759393758611
Sobic.003G072200	0.931432202197017
Sobic.003G059750	0.931304665679757
Sobic.009G135600	0.931276304624564
Sobic.007G059900	0.931194255138894
Sobic.006G134400	0.93113185857437
Sobic.004G018200	0.930691189605099
Sobic.003G388000	0.930633552240199
Sobic.002G068100	0.930632129683507
Sobic.002G314900	0.930576818589293
Sobic.001G542500	0.930378672139569
Sobic.003G008500	0.930230502657254
Sobic.005G045300	0.930136605058149
Sobic.004G023900	0.930028775900299
Sobic.010G086600	0.92955378954483
Sobic.010G012300	0.929007720190352
Sobic.002G348600	0.928622577018438
Sobic.010G083700	0.928612936049363
Sobic.003G109500	0.928541930689342
Sobic.002G071500	0.928394576533163
Sobic.002G009800	0.92824667066308
Sobic.005G198100	0.928053180846328
Sobic.003G043200	0.92787511513553
Sobic.001G457000	0.927772140654118
Sobic.005G158300	0.927768350619287
Sobic.006G239400	0.927743700920159
Sobic.003G108700	0.927595358704328
Sobic.003G123000	0.927355267348783
Sobic.003G179100	0.927140796965476
Sobic.001G287800	0.926869838515785
Sobic.009G085200	0.926851003317115
Sobic.007G063000	0.926839866553563
Sobic.004G336300	0.926802344410534
Sobic.004G316700	0.926715636421545
Sobic.010G130000	0.925808570134122
Sobic.001G414000	0.925347207118643
Sobic.003G416700	0.925137734573496
Sobic.010G201500	0.924883018502697
Sobic.004G101900	0.924566455000564
Sobic.003G155100	0.924462527952532
Sobic.003G173600	0.923850347620268
Sobic.004G283000	0.923723130479717
Sobic.003G395600	0.923706984169272
Sobic.001G009300	0.923633735374675
Sobic.009G183000	0.923633259784775
Sobic.009G260650	0.923111192206194
Sobic.002G211800	0.923110771267057
Sobic.002G067800	0.923094637133405
Sobic.001G230000	0.922967861754991
Sobic.003G264100	0.92284165136281
Sobic.002G137200	0.922445386335063
Sobic.009G040600	0.922108639375246
Sobic.001G363500	0.921873546323795
Sobic.005G030300	0.921606330776837
Sobic.001G374000	0.921532983074684
Sobic.009G105800	0.921454066991065
Sobic.003G305200	0.921385140050819
Sobic.003G205200	0.921316874364954
Sobic.003G038500	0.921252543150154
Sobic.006G019300	0.921242409028191
Sobic.001G534700	0.921222440311773
Sobic.010G232700	0.92110374079828
Sobic.009G011400	0.920945097554746
Sobic.002G112700	0.920938072677363
