locusID	baseMean	log2FoldChange	lfcSE	pvalue	padj
Sobic.002G136700	67.8064601948963	0.902874621061072	0.314345695057029	0.00236546377711311	0.00575005200049692
Sobic.002G137000	99.2946599790794	0.835911331102519	0.282347215033118	0.00194900269105066	0.00482410977528153
Sobic.002G137100	489.958617218966	1.26794252465604	0.228903830964337	1.22706485915416e-08	8.17564399926616e-08
Sobic.002G137300	710.672303323576	1.82074915691767	0.228892300611644	4.07859549067863e-16	6.39632535484828e-15
Sobic.002G137400	133.368936667612	0.88705961158874	0.196300315449888	4.06307064431449e-06	1.78231614564e-05
Sobic.002G138800	144.437103577146	2.84740762038141	0.265247793006244	1.00394274573893e-27	4.11920043327253e-26
Sobic.002G140000	91.6033783703523	1.47731603066567	0.268157013789648	1.22216726948815e-08	8.14608883097069e-08
Sobic.002G140300	23.770708963044	1.34036175107806	0.568582341653844	0.00575349378313542	0.012736372749794
Sobic.002G140600	138.403439381457	0.578592625739845	0.252471257167668	0.0175441645741383	0.0341948404310121
Sobic.002G140900	202.671284980145	1.16323486057559	0.237737802523108	4.53320392721738e-07	2.34749976189892e-06
Sobic.002G141700	132.255886248138	0.646887771405759	0.215081226938941	0.00197897537719058	0.00489074976604194
Sobic.002G141900	107.030610293456	1.01633394832491	0.278881430867208	0.000134473589781874	0.000437169254564511
Sobic.002G142400	20.6370851821086	1.45872520847779	0.709368976342778	0.00973828164182517	0.0203208164407713
Sobic.002G142600	444.377058897469	1.10034395867481	0.193609523618339	6.77614486778359e-09	4.73096651770107e-08
Sobic.002G142700	36.9337597272673	1.07207986964324	0.355551850316536	0.00133624495025467	0.00344216230943834
Sobic.002G143000	128.151389438674	0.797824892943633	0.220638539871174	0.000215157003107272	0.000667255230413359
Sobic.002G143100	12.55616803165	1.52137759919081	0.598380844544981	0.00304573958622663	0.00721385199621378
Sobic.002G143500	93.800799635786	0.7307837463919	0.229494957965108	0.00107498195177651	0.00283369289932661
Sobic.002G144800	59.7748635616392	3.22287214994069	0.421170734725061	4.39870501812169e-15	6.25857682538073e-14
Sobic.002G145000	604.296730757336	0.721225001160338	0.127079530681039	1.08382216346998e-08	7.28419386947228e-08
Sobic.002G145300	59.2511049303677	2.35856828341325	0.340257533008459	1.10605196751651e-12	1.23585021297618e-11
Sobic.002G145500	137.01803581109	4.29726785134144	0.289431880431569	4.24314409543439e-51	5.67134782392038e-49
Sobic.002G146200	51.2519716130061	1.28396414516211	0.270276622735172	7.30763334089982e-07	3.65340252291005e-06
Sobic.002G146300	565.181358872258	0.676325453866218	0.2066897853332	0.000804508527856754	0.00217665142723152
Sobic.002G146400	59.5885444718796	2.62099894925738	0.346768814357928	1.03346944777265e-14	1.42895779522357e-13
Sobic.002G146900	105.185868025542	1.66232082320702	0.240143297366077	1.24535371334833e-12	1.3844849127035e-11
Sobic.002G147200	122.535746418192	0.580729642752718	0.203140882104255	0.00351673241377467	0.00818869077157537
Sobic.002G148232	71.6488181774019	0.838675690553028	0.230493194059208	0.000186613929585362	0.000587514196944064
Sobic.002G148300	201.330412360181	1.00806482085308	0.248969455222416	2.8409059369833e-05	0.000106190897131772
Sobic.002G148400	149.102157229249	0.694005858774182	0.205996454258356	0.000552982701242681	0.00155751497414186
Sobic.002G148900	99.9815733775262	0.63040101351809	0.241437672166119	0.00698369661939169	0.0151144945358105
Sobic.002G150700	2038.59144679422	1.03592244297438	0.204078945256822	2.36398716339313e-07	1.28577730672694e-06
Sobic.002G150766	7.80708056163387	6.62163214456257	2.39447491870294	2.06522005687426e-07	1.13474548313399e-06
Sobic.002G150800	93.9626785667724	0.943673694230964	0.220604482432274	1.15863941187418e-05	4.67349683212074e-05
Sobic.002G151000	88.5085369492801	1.89249942086937	0.245778871207578	3.3485747157088e-15	4.8267078193832e-14
Sobic.002G152200	33.8760492495448	0.977657590146856	0.331796403790267	0.00187593776939658	0.00466288673787882
Sobic.002G152800	590.263064165168	1.01822941024348	0.261068163030903	4.96934502081298e-05	0.000176470073166938
Sobic.002G152900	24.5044888704586	2.2543873685976	0.408938323999654	9.10374841303365e-09	6.18234923984422e-08
Sobic.002G153000	13.0099569618589	1.09791981205367	0.450594368267283	0.00674499310391688	0.0146590186415873
Sobic.002G153400	44.3542997261664	0.857854927785753	0.310395524665399	0.00372188911393839	0.0086016884512988
Sobic.002G153500	71.338415908456	0.787095068243199	0.255082232099994	0.00138541156088619	0.00355376798033078
Sobic.002G154400	147.159843561639	1.31013610466029	0.177498967695921	6.53738908340723e-14	8.33977986974358e-13
Sobic.002G154551	144.048902229625	1.1891756428511	0.201459952440583	1.84550594060881e-09	1.39353403015084e-08
Sobic.002G155000	35.9977795470109	2.19378412647715	0.391162953636789	5.09139528468221e-09	3.62646293934793e-08
Sobic.002G155100	527.984796615322	1.38305070299663	0.205149658064614	5.86454723965891e-12	6.02962730894193e-11
Sobic.002G155200	45.4832161985256	4.97480698869939	0.518614638279646	2.07161962428056e-22	5.57158308402164e-21
Sobic.002G155301	53.7188086967736	0.791230417823139	0.327285852770063	0.0101134950542103	0.0210068746458009
Sobic.002G155500	293.281529008403	0.715702980950305	0.200584611618345	0.000264281156539702	0.000802946864961247
Sobic.002G155900	990.492035579219	8.11778158984763	0.469603989111007	3.04022908485269e-66	7.24848131676432e-64
Sobic.002G156100	115.455939162442	1.76441268565254	0.234367170696687	1.18061927856399e-14	1.62351254339084e-13
Sobic.002G156200	364.053932366064	2.01334658196499	0.224256457080363	5.98684095547519e-20	1.28969273476738e-18
Sobic.002G158700	132.397837576448	0.651851122592095	0.182071953327918	0.000265523231868127	0.000806442826622373
Sobic.002G158800	280.449300196119	2.68525759444406	0.241180898247173	1.12390987876139e-29	5.13708341735418e-28
Sobic.002G159200	135.900452619758	0.899998694216152	0.164057762717237	2.53910696132295e-08	1.62016145094469e-07
Sobic.002G159700	199.347510819758	1.09031720180695	0.179395637607437	6.542677904099e-10	5.28053368078768e-09
Sobic.002G159900	231.953877707328	1.02197497913681	0.296566971813672	0.000284731815764447	0.000858721953082418
Sobic.002G160400	16.2906231732962	1.55483555375465	0.549694224425987	0.00126469864198776	0.00328037020590855
Sobic.002G160700	60.1601305659651	1.44324974688679	0.275086712071872	4.93757415571061e-08	3.02582913613068e-07
Sobic.002G161200	13.7424285137262	1.15355076887494	0.574556802716302	0.0170659734903779	0.033351237294056
